# Image labels. Each row contains the id of the image and their labels:
# ImageID Author Technique Form Type School TimeFrame
0000001	1	1023	1	1	10	7
0000002	2	173	1	1	15	10
0000003	3	1232	1	1	20	11
0000004	4	1456	1	1	13	6
0000005	4	198	1	1	13	6
0000006	4	31	1	1	13	6
0000007	4	128	1	1	13	6
0000008	5	1783	1	1	10	5
0000009	6	2076	1	1	13	6
0000010	6	1009	1	1	13	6
0000011	7	2415	1	1	10	5
0000012	7	1839	1	1	10	5
0000013	7	2064	1	1	10	5
0000014	7	1831	1	1	10	5
0000015	7	2412	1	1	10	5
0000016	7	2055	1	1	10	5
0000017	7	2055	1	1	10	5
0000018	8	534	1	1	2	11
0000019	8	832	1	1	2	11
0000020	8	1059	1	1	2	11
0000021	8	1013	1	1	2	11
0000022	8	1003	1	1	2	11
0000023	8	385	1	1	2	11
0000024	8	117	1	1	2	11
0000025	8	956	1	1	2	11
0000026	8	821	1	1	2	11
0000027	9	383	1	1	13	9
0000028	9	403	1	1	13	9
0000029	10	1308	1	1	13	12
0000030	11	28	1	1	13	3
0000031	11	28	1	1	13	3
0000032	11	28	1	1	13	3
0000033	11	25	1	1	13	3
0000034	11	28	1	1	13	3
0000035	11	26	1	1	13	3
0000036	11	32	1	1	13	3
0000037	11	28	1	1	13	3
0000038	11	27	1	1	13	3
0000039	11	2302	1	1	13	3
0000040	12	1827	1	1	13	5
0000041	12	2145	1	1	13	5
0000042	12	2130	1	1	13	5
0000043	12	1010	1	1	13	5
0000044	12	1144	1	1	13	5
0000045	12	2036	1	1	13	5
0000046	13	2179	1	1	13	4
0000047	14	1668	1	1	13	6
0000048	14	1632	1	1	13	6
0000049	15	236	1	1	13	6
0000050	15	1152	1	1	13	6
0000051	15	882	1	1	13	6
0000052	15	555	1	1	13	6
0000053	15	1111	1	1	13	6
0000054	15	923	1	1	13	6
0000055	15	1900	1	1	13	6
0000056	15	1090	1	1	13	6
0000057	15	1655	1	1	13	6
0000058	15	996	1	1	13	6
0000059	16	1641	1	1	14	5
0000060	16	37	1	1	14	5
0000061	17	883	1	1	13	4
0000062	17	1915	1	1	13	4
0000063	17	1914	1	1	13	4
0000064	17	1988	1	1	13	4
0000065	17	1986	1	1	13	4
0000066	17	1695	1	1	13	4
0000067	17	1970	1	1	13	4
0000068	17	1669	1	1	13	4
0000069	17	1700	1	1	13	4
0000070	18	2297	1	1	13	4
0000071	19	2344	1	1	13	4
0000072	20	953	1	1	18	10
0000073	20	117	1	1	18	10
0000074	21	280	1	1	13	11
0000075	22	2034	1	1	13	5
0000076	23	801	1	1	13	6
0000077	23	117	1	1	13	6
0000078	23	2027	1	1	13	6
0000079	23	2027	1	1	13	6
0000080	23	2027	1	1	13	6
0000081	23	1991	1	1	13	6
0000082	23	1473	1	1	13	6
0000083	23	2020	1	1	13	6
0000084	23	1334	1	1	13	6
0000085	23	1425	1	1	13	6
0000086	23	1059	1	1	13	6
0000087	23	117	1	1	13	6
0000088	23	2060	1	1	13	6
0000089	23	2060	1	1	13	6
0000090	23	2001	1	1	13	6
0000091	23	2001	1	1	13	6
0000092	24	1097	1	1	18	10
0000093	24	1020	1	1	18	10
0000094	25	1765	1	1	6	7
0000095	26	2332	1	1	13	5
0000096	26	1718	1	1	13	5
0000097	27	50	1	1	9	10
0000098	28	117	1	1	9	9
0000099	29	1907	1	1	13	5
0000100	30	1148	1	1	13	8
0000101	30	1159	1	1	13	8
0000102	31	1866	1	1	6	7
0000103	31	2120	1	1	6	7
0000104	31	399	1	1	6	7
0000105	31	1211	1	1	6	7
0000106	32	156	1	1	6	8
0000107	33	2141	1	1	6	7
0000108	33	2119	1	1	6	7
0000109	33	2103	1	1	6	7
0000110	34	2271	1	1	13	4
0000111	34	2180	1	1	13	4
0000112	35	2264	1	1	13	4
0000113	35	2264	1	1	13	4
0000114	36	1759	1	1	10	5
0000115	36	44	1	1	10	5
0000116	36	2397	1	1	10	5
0000117	36	2393	1	1	10	5
0000118	36	1465	1	1	10	5
0000119	37	2049	1	1	13	5
0000120	37	511	1	1	13	5
0000121	38	820	1	1	11	11
0000122	38	839	1	1	11	11
0000123	38	1080	1	1	11	11
0000124	38	426	1	1	11	11
0000125	38	117	1	1	11	11
0000126	39	1906	1	1	13	5
0000127	39	2380	1	1	13	5
0000128	40	259	1	1	13	6
0000129	40	319	1	1	13	6
0000130	40	1895	1	1	13	6
0000131	40	872	1	1	13	6
0000132	40	902	1	1	13	6
